X,Y,full_id,osm_id,osm_type,addr_city,addr_house,addr_postc,addr_stree,building,building_l,email,internet_a,name,operator,payment_ca,payment_cr,payment_de,payment_vi,tourism,type,website,addr_count,residentia,year,addr_hou_1,building_c,building_u,landuse,building_m,roof_colou,roof_mater,amenity,branch,fax,phone,short_name,social_fac,access,bicycle_pa,building_1,layer,level,parking,parking_co,parking_la,surface,height,social_f_1,addr_neigh,addr_place,postal_cod,roof_shape,building_2,roof_level,roof_orien,building_p,addr_subur,ref,commercial,image,mapillary,history,old_name,wheelchair,shop,building_3,leisure,architect,year_of_co,religion,wikidata,denominati,historic,roof_direc,descriptio,check_date,resi,contact_fa,covered,power,sports,sport,addr_name,shelter_ty,full_id_2,osm_id_2,osm_type_2,addr_city_,addr_cou_1,addr_hou_2,addr_pos_1,addr_str_1,building_4,building_5,resident_1,type_2,year_2,addr_hou_3,height_2,addr_regio,descript_1,landuse_2,name_2,constructi,addr_pla_1,building_6,building_7,place,addr_nei_1,roof_lev_1,roof_mat_1,roof_ori_1,roof_sha_1,roof_col_1,building_8,amenity_2,parking_2,commerci_1,image_2,mapillary_,history_2,designatio,layer_2,building_9,shop_2,building10,wikidata_2,operator_2,building11,developer,phone_2,website_2,alt_name,wheelcha_1,roof_dir_1,natural,contact__1,power_2,old_name_2,ID
103.788526946801,1.3104001081847,r2315632,"2315632",relation,Singapore,"21","270021",Ghim Moh Road,residential,"10",,,,,,,,,,multipolygon,,SG,HDB,"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w713604802,"713604802",way,,,,,,,,HDB,,,,,,,residential,Ghim Moh Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
103.788526946801,1.3104001081847,r2315632,"2315632",relation,Singapore,"21","270021",Ghim Moh Road,residential,"10",,,,,,,,,,multipolygon,,SG,HDB,"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2315632,"2315632",relation,Singapore,SG,"21","270021",Ghim Moh Road,residential,"10",HDB,multipolygon,"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
103.942896024508,1.33398475579065,r6526471,"6526471",relation,Singapore,94B,"461094",Bedok North Avenue 4,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w711624738,"711624738",way,,,,,,,,HDB,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3"
103.942896024508,1.33398475579065,r6526471,"6526471",relation,Singapore,94B,"461094",Bedok North Avenue 4,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r6526471,"6526471",relation,Singapore,SG,94B,"461094",Bedok North Avenue 4,residential,"13",HDB,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4"
103.94265847,1.33349053850556,r6526472,"6526472",relation,Singapore,94C,"462094",Bedok North Avenue 4,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w711624738,"711624738",way,,,,,,,,HDB,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5"
103.94265847,1.33349053850556,r6526472,"6526472",relation,Singapore,94C,"462094",Bedok North Avenue 4,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r6526472,"6526472",relation,Singapore,SG,94C,"462094",Bedok North Avenue 4,residential,"13",HDB,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6"
103.825376881863,1.28362240540053,r6552520,"6552520",relation,Singapore,25B,,Jalan Membina,residential,"27",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r6552520,"6552520",relation,Singapore,SG,25B,,Jalan Membina,residential,"27",HDB,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7"
103.825376881863,1.28362240540053,r6552520,"6552520",relation,Singapore,25B,,Jalan Membina,residential,"27",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w174078893,"174078893",way,,,,,,,,HDB,,,,,,,residential,Membina Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8"
103.855668103268,1.34520818568792,r6730883,"6730883",relation,Singapore,"151","570151",Bishan Street 11,residential,,,,,,,,,,,multipolygon,,,hdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w711563550,"711563550",way,,,,,,,,HDB,,,,,,,commercial,Chung Ling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9"
103.855214264485,1.34469397419096,r6730885,"6730885",relation,Singapore,"150","570150",Bishan Street 11,residential,,,,,,,,,,,multipolygon,,,hdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w711563550,"711563550",way,,,,,,,,HDB,,,,,,,commercial,Chung Ling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10"
103.88697131135,1.35929733716133,r7025565,"7025565",relation,Singapore,"210",,Hougang Street 21,residential,"4",,,,,,,,,,multipolygon,,,hdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w713613482,"713613482",way,,,,,,,,HDB,,,,,,,commercial,Kovan City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11"
103.891907102284,1.38574971620555,r7491332,"7491332",relation,Singapore,281B,"542281",Sengkang East Avenue,residential,"15",,,,,,,,,,multipolygon,,,hdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w233146547,"233146547",way,,,,,,,,HDB,,,,,,,residential,Compassvale Ancilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12"
103.891956802284,1.38531861620555,r7491401,"7491401",relation,Singapore,282A,"541282",Sengkang East Avenue,residential,"15",,,,,,,,,,multipolygon,,,hdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w233146547,"233146547",way,,,,,,,,HDB,,,,,,,residential,Compassvale Ancilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13"
103.892374610525,1.38510430351323,r7494521,"7494521",relation,Singapore,282C,"543282",Sengkang East Avenue,residential,"15",,,,,,,,,,multipolygon,,,hdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w233146547,"233146547",way,,,,,,,,HDB,,,,,,,residential,Compassvale Ancilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
103.889986403382,1.40001344392916,r7813883,"7813883",relation,Singapore,338C,"543338",Anchorvale Crescent,residential,"16",,,,,,,,,,multipolygon,,,hdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w397188666,"397188666",way,,,,,,,,HDB,,,,,,,residential,Anchorvale Parkview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15"
103.881907974107,1.3752856842946,r8346634,"8346634",relation,Singapore,932A,"531932",,residential,,,,,,,,,,,multipolygon,,,hdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w420283638,"420283638",way,,,,,,,,HDB,,,,,,,residential,Hougang Crimson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16"
103.760016858267,1.34371960361448,r8393263,"8393263",relation,Singapore,289C,"652289",Bukit Batok Street 25,residential,"17",,,,,,,,,,multipolygon,,SG,HDB,,Nature View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r8393263,"8393263",relation,Singapore,SG,289C,"652289",Bukit Batok Street 25,residential,"17",HDB,multipolygon,,Nature View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17"
103.760016858267,1.34371960361448,r8393263,"8393263",relation,Singapore,289C,"652289",Bukit Batok Street 25,residential,"17",,,,,,,,,,multipolygon,,SG,HDB,,Nature View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w370374702,"370374702",way,,,,,,,,HDB,,,,,,,residential,Nature View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18"
